movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
521439,100 вопросов (сериал),6.824,21,408.0,2010,5.5,758.0,"[мелодрама, комедия]",[США],,,100 Questions
521440,Солдаты 11 (сериал),4.303,44,1647.0,2007,,,"[комедия, военный]",[Россия],,,
521454,Территория вечеринок (сериал 2008 – 2010),6.032,-,157.0,2008,5.0,100.0,[реальное ТВ],[США],,,Rehab: Party at the Hard Rock Hotel
521482,999,5.387,91,262.0,2010,5.4,25.0,[драма],[Казахстан],$300 000,,999
521489,Тайны Хейвена (сериал 2010 – 2015),7.484,43,5162.0,2010,7.6,27367.0,"[ужасы, фантастика, фэнтези, триллер, драма, криминал, детектив]","[Канада, США]",,,Haven
521490,20 к 1 (сериал 2005 – 2010),7.101,60,191.0,2005,6.3,240.0,[документальный],[Австралия],,,20 to 1
5215,"Мио, мой Мио",7.771,99,4508.0,1987,6.5,3974.0,"[фэнтези, приключения, семейный]","[Швеция, СССР, Норвегия]",SEK 55 000 000,,Mio min Mio
521524,Гастарбайтер,6.672,88,113.0,2009,,,[драма],[Россия],,,
521525,"Варенька: И в горе, и в радости (сериал)",4.236,45,263.0,2010,,,[мелодрама],[Россия],,,
521526,Жить,7.455,72,13029.0,2010,7.1,376.0,"[триллер, драма, криминал]",[Россия],,,
521527,Овсянки,5.762,75,6507.0,2010,6.7,1612.0,"[драма, мелодрама]",[Россия],,95.0,
521528,Карусель (ТВ),6.261,90,403.0,2010,,,[мелодрама],[Россия],,,
521529,Пропавший без вести,5.903,96,331.0,2010,6.1,38.0,[драма],[Россия],,,
521549,Страстная женщина (сериал),7.57,90,218.0,2010,6.7,183.0,[драма],[Великобритания],,,A Passionate Woman
521569,Евразиец,5.978,111,171.0,2009,6.4,272.0,[драма],"[Россия, Франция, Литва]",,,
521570,Табу,6.259,86,176.0,1980,7.5,1178.0,"[для взрослых, драма, мелодрама, криминал, приключения]",[США],,,Taboo
521592,Событие (сериал 2010 – 2011),7.318,43,3892.0,2010,7.0,22733.0,"[фантастика, триллер, драма, криминал, детектив]",[США],,,The Event
521597,Любовь кусается (сериал),7.258,43,351.0,2011,7.6,2085.0,[комедия],[],,,Love Bites
